code,code,decimal_point,name,pre_close,sec,sse,volunit
000856,000856,2,500工业,3915.4006347656,index_cn,sh,100
000857,000857,2,500医药,10185.732421875,index_cn,sh,100
000858,000858,2,500信息,5426.1318359375,index_cn,sh,100
000863,000863,2,CS精准医,2284.4658203125,index_cn,sh,100
000865,000865,2,上海国企,1360.7604980469,index_cn,sh,100
000867,000867,2,港中小企,3212.7026367188,index_cn,sh,100
000869,000869,2,HK银行,3267.3459472656,index_cn,sh,100
000891,000891,2,新兴综指,1019.717590332,index_cn,sh,100
000901,000901,2,小康指数,4708.8271484375,index_cn,sh,100
000903,000903,2,中证100,3389.4621582031,index_cn,sh,100
000904,000904,2,中证200,3274.3256835938,index_cn,sh,100
000905,000905,2,中证500,4721.2119140625,index_cn,sh,100
000906,000906,2,中证800,3483.6140136719,index_cn,sh,100
000908,000908,2,300能源,1778.4019775391,index_cn,sh,100
000909,000909,2,300材料,1972.8286132812,index_cn,sh,100
000910,000910,2,300工业,1977.4353027344,index_cn,sh,100
000911,000911,2,300可选,4498.595703125,index_cn,sh,100
000912,000912,2,300消费,12161.5654296875,index_cn,sh,100
000913,000913,2,300医药,9561.396484375,index_cn,sh,100
000914,000914,2,300金融,5372.9477539062,index_cn,sh,100
000917,000917,2,300公用,1791.0764160156,index_cn,sh,100
000918,000918,2,300成长,3640.1818847656,index_cn,sh,100
000919,000919,2,300价值,4319.4443359375,index_cn,sh,100
000922,000922,2,中证红利,3893.6389160156,index_cn,sh,100
000925,000925,2,基本面50,3890.6118164062,index_cn,sh,100
000928,000928,2,中证能源,1919.015625,index_cn,sh,100
000931,000931,2,中证可选,4217.5541992188,index_cn,sh,100
000932,000932,2,中证消费,10284.0849609375,index_cn,sh,100
000933,000933,2,中证医药,9232.9736328125,index_cn,sh,100
000934,000934,2,中证金融,5173.5356445312,index_cn,sh,100
000935,000935,2,中证信息,3378.390625,index_cn,sh,100
000939,000939,2,民企200,1390.6140136719,index_cn,sh,100
000940,000940,2,财富大盘,4351.8876953125,index_cn,sh,100
000944,000944,2,内地资源,2262.5739746094,index_cn,sh,100
000950,000950,2,300基建,1826.5986328125,index_cn,sh,100
000951,000951,2,300银行,5414.865234375,index_cn,sh,100
000952,000952,2,300地产,7267.8334960938,index_cn,sh,100
000957,000957,2,300运输,1228.3306884766,index_cn,sh,100
000958,000958,2,创业成长,929.7882080078,index_cn,sh,100
000959,000959,2,银河99,5826.3647460938,index_cn,sh,100
000961,000961,2,中证上游,2195.3447265625,index_cn,sh,100
000963,000963,2,中证下游,4620.8725585938,index_cn,sh,100
000964,000964,2,中证新兴,6614.6108398438,index_cn,sh,100
000966,000966,2,基本400,5344.673828125,index_cn,sh,100
000969,000969,2,300非周,3524.3312988281,index_cn,sh,100
000971,000971,2,等权90,2327.9091796875,index_cn,sh,100
000974,000974,2,800金融,5294.1450195312,index_cn,sh,100
000975,000975,2,钱江30,1043.0804443359,index_cn,sh,100
000977,000977,2,内地低碳,994.5114135742,index_cn,sh,100
000978,000978,2,医药100,11488.2646484375,index_cn,sh,100
000979,000979,2,大宗商品,3357.4467773438,index_cn,sh,100
000982,000982,2,500等权,5601.0815429688,index_cn,sh,100
000983,000983,2,智能资产,7648.2451171875,index_cn,sh,100
000984,000984,2,300等权,3347.1357421875,index_cn,sh,100
000986,000986,2,全指能源,1739.2026367188,index_cn,sh,100
000987,000987,2,全指材料,2566.7219238281,index_cn,sh,100
000989,000989,2,全指可选,4064.1044921875,index_cn,sh,100
000990,000990,2,全指消费,9163.2197265625,index_cn,sh,100
000991,000991,2,全指医药,8680.6474609375,index_cn,sh,100
000992,000992,2,全指金融,4942.8837890625,index_cn,sh,100
000993,000993,2,全指信息,4378.0576171875,index_cn,sh,100
000998,000998,2,中证TMT,1514.31640625,index_cn,sh,100
395001,395001,2,主板Ａ股,463.0,index_cn,sz,100
395002,395002,2,主板Ｂ股,288.0,index_cn,sz,100
395003,395003,2,中小板,913.0,index_cn,sz,100
395004,395004,2,创业板,730.0,index_cn,sz,100
395005,395005,2,存托凭证,5.877471754e-39,index_cn,sz,100
395011,395011,2,封闭基金,32768.5,index_cn,sz,100
395012,395012,2,ＬＯＦｓ,240.0,index_cn,sz,100
395013,395013,2,ＥＴＦｓ,384.0,index_cn,sz,100
395014,395014,2,分级基金,226.0,index_cn,sz,100
395021,395021,2,可 转 债,368.0,index_cn,sz,100
395022,395022,2,企业债,264.0,index_cn,sz,100
395024,395024,2,公司债,535.0,index_cn,sz,100
395031,395031,2,国债,2895.0,index_cn,sz,100
395032,395032,2,债券回购,264.0,index_cn,sz,100
395041,395041,2,股票权证,5.877471754e-39,index_cn,sz,100
395099,395099,2,总 成 交,2154.0,index_cn,sz,100
399001,399001,2,深证成指,8163.759765625,index_cn,sz,100
399002,399002,2,深成指R,9863.5244140625,index_cn,sz,100
399003,399003,2,成份Ｂ指,5290.2841796875,index_cn,sz,100
399004,399004,2,深证100R,4233.025390625,index_cn,sz,100
399005,399005,2,中小板指,5555.9624023438,index_cn,sz,100
399006,399006,2,创业板指,1391.2790527344,index_cn,sz,100
399007,399007,2,深证300,3418.3901367188,index_cn,sz,100
399008,399008,2,中小300,1082.5665283203,index_cn,sz,100
399009,399009,2,深证200,3428.9333496094,index_cn,sz,100
399010,399010,2,深证700,5185.7778320312,index_cn,sz,100
399011,399011,2,深证1000,3924.5629882812,index_cn,sz,100
399012,399012,2,创业300,2066.0893554688,index_cn,sz,100
399013,399013,2,深市精选,3693.5698242188,index_cn,sz,100
399015,399015,2,中小创新,1690.2562255859,index_cn,sz,100
399016,399016,2,深证创新,2434.5217285156,index_cn,sz,100
399017,399017,2,SME创新,2059.0244140625,index_cn,sz,100
399018,399018,2,创业创新,2699.1708984375,index_cn,sz,100
399050,399050,2,创新引擎,1737.9045410156,index_cn,sz,100
399100,399100,2,新 指 数,6414.7485351562,index_cn,sz,100
399101,399101,2,中小板综,8352.744140625,index_cn,sz,100
399102,399102,2,创业板综,1703.7404785156,index_cn,sz,100
399103,399103,2,乐富指数,4981.0302734375,index_cn,sz,100
399106,399106,2,深证综指,1413.5667724609,index_cn,sz,100
399107,399107,2,深证Ａ指,1477.8610839844,index_cn,sz,100
399108,399108,2,深证Ｂ指,958.7528076172,index_cn,sz,100
399231,399231,2,农林指数,996.473815918,index_cn,sz,100
399232,399232,2,采矿指数,1584.1689453125,index_cn,sz,100
399233,399233,2,制造指数,1547.9034423828,index_cn,sz,100
399234,399234,2,水电指数,683.333190918,index_cn,sz,100
399235,399235,2,建筑指数,1281.3443603516,index_cn,sz,100
399236,399236,2,批零指数,1452.7950439453,index_cn,sz,100
399237,399237,2,运输指数,990.07421875,index_cn,sz,100
399238,399238,2,餐饮指数,1130.9593505859,index_cn,sz,100
399239,399239,2,IT指数,1456.6696777344,index_cn,sz,100
399240,399240,2,金融指数,819.7327880859,index_cn,sz,100
399241,399241,2,地产指数,2286.6962890625,index_cn,sz,100
399242,399242,2,商务指数,1146.1005859375,index_cn,sz,100
399243,399243,2,科研指数,1432.9510498047,index_cn,sz,100
399244,399244,2,公共指数,932.3920898438,index_cn,sz,100
399248,399248,2,文化指数,1053.1544189453,index_cn,sz,100
399249,399249,2,综企指数,509.0723876953,index_cn,sz,100
399297,399297,2,新浪100,2456.5219726562,index_cn,sz,100
399298,399298,2,深信中高,160.3056030273,index_cn,sz,100
399299,399299,2,深信中低,174.4649047852,index_cn,sz,100
399300,399300,2,沪深300,3236.5661621094,index_cn,sz,100
399301,399301,2,深信用债,163.2823944092,index_cn,sz,100
399302,399302,2,深公司债,166.4777069092,index_cn,sz,100
399303,399303,2,国证2000,5490.82421875,index_cn,sz,100
399306,399306,2,深证ETF,987.2880859375,index_cn,sz,100
399307,399307,2,深证转债,174.7926940918,index_cn,sz,100
399310,399310,2,国证50,4936.1962890625,index_cn,sz,100
399311,399311,2,国证1000,3242.7893066406,index_cn,sz,100
399312,399312,2,国证300,3614.9216308594,index_cn,sz,100
399313,399313,2,巨潮100,3752.9775390625,index_cn,sz,100
399314,399314,2,巨潮大盘,3379.0649414062,index_cn,sz,100
399315,399315,2,巨潮中盘,3241.7758789062,index_cn,sz,100
399316,399316,2,巨潮小盘,3600.4809570312,index_cn,sz,100
399317,399317,2,国证Ａ指,3737.7453613281,index_cn,sz,100
399318,399318,2,国证Ｂ指,4100.5634765625,index_cn,sz,100
399319,399319,2,资源优势,1531.8120117188,index_cn,sz,100
399320,399320,2,国证服务,1785.9338378906,index_cn,sz,100
399321,399321,2,国证红利,5310.8178710938,index_cn,sz,100
399322,399322,2,国证治理,6776.9716796875,index_cn,sz,100
399324,399324,2,深证红利,6689.4985351562,index_cn,sz,100
399326,399326,2,成长40,3570.7915039062,index_cn,sz,100
399328,399328,2,深证治理,7135.2236328125,index_cn,sz,100
